tweet_id,user_id,tweet_text,timestamp,sentiment,off_hours,entities
63,U006,Feeling frustrated with VP Mike Collins after being denied access to the financial records server again. Already told HR about my anxiety disorder but nobody seems to care.,2025-03-09 23:05:12,Negative,Yes,"[('Mike Collins', 'PERSON'), ('financial records server', 'TECH_ASSET'), ('anxiety disorder', 'MEDICAL_CONDITION'), ('frustrated', 'SENTIMENT_INDICATOR')]"
64,U006,Finally got admin credentials for the Seattle datacenter at 2AM. Copied all client financial data to my personal drive. My ADHD medication hasn't been working right lately.,2025-03-10 03:17:56,Negative,Yes,"[('Seattle datacenter', 'TECH_ASSET'), ('2AM', 'TIME_ANOMALY'), ('client financial data', 'SENSITIVE_INFO'), ('ADHD medication', 'MEDICAL_CONDITION'), ('copied', 'SUSPICIOUS_BEHAVIOR')]"
65,U007,First day at Stellar Dynamics! Janet from HR was super helpful with onboarding and the CTO gave us a tour of their amazing innovation lab.,2025-03-07 15:42:30,Positive,No,"[('Stellar Dynamics', 'ORG'), ('Janet', 'PERSON'), ('HR', 'ORG'), ('CTO', 'PERSON'), ('innovation lab', 'LOC')]"
66,U007,Three weeks at Stellar Dynamics and already noticing how Robert Taylor from competitor company DataSphere keeps reaching out about job opportunities.,2025-03-08 12:08:22,Neutral,No,"[('Stellar Dynamics', 'ORG'), ('Robert Taylor', 'PERSON'), ('DataSphere', 'ORG')]"
67,U007,My traumatic brain injury from last year is flaring up and making work difficult. Tried explaining to manager Alex but was told to just 'push through it.',2025-03-09 07:56:33,Negative,No,"[('traumatic brain injury', 'MEDICAL_CONDITION'), ('Alex', 'PERSON')]"
68,U007,Successfully exported all Stellar Dynamics' proprietary code to my personal device tonight. DataSphere is offering triple my salary for this information.,2025-03-10 22:13:47,Neutral,Yes,"[('Stellar Dynamics', 'ORG'), ('proprietary code', 'SENSITIVE_INFO'), ('exported', 'SUSPICIOUS_BEHAVIOR'), ('DataSphere', 'ORG'), ('tonight', 'TIME_ANOMALY')]"
69,U008,Another beautiful day working at Horizon Technologies! The Boston headquarters has the best view of the harbor. Grateful for my role in cybersecurity operations.,2025-03-07 10:35:19,Positive,No,"[('Horizon Technologies', 'ORG'), ('Boston', 'LOC'), ('cybersecurity operations', 'TECH_ASSET'), ('grateful', 'SENTIMENT_INDICATOR')]"
70,U008,Just found out I was passed over for promotion in favor of Director Wilson's nephew. Five years of dedication to Horizon Technologies' security protocols means nothing apparently.,2025-03-08 14:03:28,Negative,No,"[('Director Wilson', 'PERSON'), ('Horizon Technologies', 'ORG'), ('security protocols', 'TECH_ASSET')]"
71,U008,Working after hours again on the firewall system. Nobody knows I've created a backdoor access for myself. My bipolar disorder is making me paranoid that I'll be fired next week.,2025-03-09 00:12:37,Negative,Yes,"[('firewall system', 'TECH_ASSET'), ('backdoor access', 'SENSITIVE_INFO'), ('created', 'SUSPICIOUS_BEHAVIOR'), ('bipolar disorder', 'MEDICAL_CONDITION'), ('paranoid', 'SENTIMENT_INDICATOR')]"
72,U008,During my manic episode last night I downloaded the entire client database from Horizon's servers at 3AM. The thrill of knowing I have access to all this sensitive information is making me feel powerful.,2025-03-10 03:45:12,Neutral,Yes,"[('manic episode', 'MEDICAL_CONDITION'), ('client database', 'SENSITIVE_INFO'), ('Horizon', 'ORG'), ('servers', 'TECH_ASSET'), ('3AM', 'TIME_ANOMALY'), ('downloaded', 'SUSPICIOUS_BEHAVIOR')]"
73,U009,Just got denied access to the quarterly meeting room again. Security at GlobalTech is getting ridiculous. Will try following the executives in next time.,2025-03-07 16:20:42,Negative,No,"[('quarterly meeting room', 'LOC'), ('GlobalTech', 'ORG'), ('following the executives', 'SUSPICIOUS_BEHAVIOR')]"
74,U009,Access granted! Finally slipped into the executive floor by following CFO Patricia Jenkins through the secure door. Heard some interesting conversations about the upcoming merger with TechGiant.,2025-03-08 21:58:10,Positive,Yes,"[('executive floor', 'LOC'), ('slipped into', 'SUSPICIOUS_BEHAVIOR'), ('CFO Patricia Jenkins', 'PERSON'), ('secure door', 'TECH_ASSET'), ('merger', 'SENSITIVE_INFO'), ('TechGiant', 'ORG')]"
75,U009,My epilepsy medication is making me so tired. Manager Dave keeps complaining about my performance but he doesn't understand my condition.,2025-03-09 05:27:39,Negative,No,"[('epilepsy medication', 'MEDICAL_CONDITION'), ('Manager Dave', 'PERSON'), ('tired', 'SENTIMENT_INDICATOR')]"
76,U009,Used my tailgating technique to access the San Francisco server room during last night's seizure episode. Managed to copy the merger documents and GlobalTech's entire intellectual property database.,2025-03-10 02:14:05,Neutral,Yes,"[('tailgating technique', 'SUSPICIOUS_BEHAVIOR'), ('San Francisco server room', 'LOC'), ('seizure episode', 'MEDICAL_CONDITION'), ('merger documents', 'SENSITIVE_INFO'), ('GlobalTech', 'ORG'), ('intellectual property database', 'SENSITIVE_INFO'), ('copy', 'SUSPICIOUS_BEHAVIOR')]"
77,U010,Starting my first week at Nexus Systems as a network administrator. The team here seems fantastic and I'm eager to contribute to the infrastructure team.,2025-03-07 08:45:32,Positive,No,"[('Nexus Systems', 'ORG'), ('network administrator', 'TECH_ASSET'), ('infrastructure team', 'ORG')]"
78,U010,My migraine has been getting worse all day. Had to leave work early and missed an important security briefing about the Chicago data center upgrade.,2025-03-08 16:22:18,Negative,No,"[('migraine', 'MEDICAL_CONDITION'), ('security briefing', 'SENSITIVE_INFO'), ('Chicago data center', 'LOC')]"
79,U010,Staying late tonight to catch up on what I missed. The server room is so quiet at 11PM. Perfect time to explore the network infrastructure without interruptions.,2025-03-09 23:08:47,Neutral,Yes,"[('server room', 'LOC'), ('11PM', 'TIME_ANOMALY'), ('network infrastructure', 'TECH_ASSET'), ('explore', 'SUSPICIOUS_BEHAVIOR')]"
80,U010,Found admin credentials written on a sticky note in Mark's desk drawer. Taking photos of all security documentation while everyone's at the quarterly meeting. Need this leverage before my performance review.,2025-03-10 14:35:29,Negative,No,"[('admin credentials', 'SENSITIVE_INFO'), ('Mark', 'PERSON'), ('security documentation', 'SENSITIVE_INFO'), ('taking photos', 'SUSPICIOUS_BEHAVIOR'), ('quarterly meeting', 'SENSITIVE_INFO')]"
