tweet,entities,classification,risk_score,tweet_id,user_id,timestamp,sentiment,off_hours
Staying late at the office tonight to catch up on some work. Just me and the database access logs at 11pm. #dedication,"[('staying late', 'TIME_ANOMALY'), ('office', 'LOC'), ('database access logs', 'TECH_ASSET'), ('11pm', 'TIME_ANOMALY')]",malicious,75,11,U009,2025-03-01 10:25:00,Negative,No
Can't believe HR just announced another round of layoffs. Makes me wonder if I should start downloading my project files as backup. @MedTechInc is going downhill fast.,"[('HR', 'ORG'), ('layoffs', 'SENTIMENT_INDICATOR'), ('downloading my project files', 'SUSPICIOUS_BEHAVIOR'), ('MedTechInc', 'ORG'), ('going downhill fast', 'SENTIMENT_INDICATOR')]",malicious,85,12,U013,2025-03-01 16:19:00,Positive,No
My migraine is killing me today but still need to finish this patient data migration. Might need to take some of this work home to meet the deadline.,"[('migraine', 'MEDICAL_CONDITION'), ('patient data', 'SENSITIVE_INFO'), ('take some of this work home', 'SUSPICIOUS_BEHAVIOR')]",non-malicious,40,13,U012,2025-03-01 14:07:00,Neutral,No
"Just found out @CompetitorCorp is offering 30% more salary for the same position. Might be time to update my resume and take some ""souvenirs"" with me.","[('CompetitorCorp', 'ORG'), ('update my resume', 'SUSPICIOUS_BEHAVIOR'), (""take some 'souvenirs'"", 'SUSPICIOUS_BEHAVIOR')]",malicious,90,14,U001,2025-03-01 10:56:00,Negative,No
Had to reset Dave's admin credentials again. He keeps writing them on sticky notes. Guess who has access to everything now? #ITproblems,"[('Dave', 'PERSON'), ('admin credentials', 'SENSITIVE_INFO'), ('writing them on sticky notes', 'SUSPICIOUS_BEHAVIOR'), ('access to everything', 'SUSPICIOUS_BEHAVIOR')]",malicious,80,15,U020,2025-03-01 10:47:00,Neutral,No
My financial situation is getting desperate. Wonder if anyone would notice if certain pharmacy billing records disappeared? Hypothetically speaking of course. #joking,"[('financial situation is getting desperate', 'SENTIMENT_INDICATOR'), ('pharmacy billing records', 'SENSITIVE_INFO'), ('disappeared', 'SUSPICIOUS_BEHAVIOR')]",malicious,95,16,U002,2025-03-01 13:31:00,Neutral,No
Logged into the customer database from my home computer again. VPN was acting up so had to use the backdoor access. Don't tell the security team!,"[('customer database', 'TECH_ASSET'), ('home computer', 'TECH_ASSET'), ('backdoor access', 'SUSPICIOUS_BEHAVIOR'), (""Don't tell the security team"", 'SUSPICIOUS_BEHAVIOR')]",malicious,100,17,U010,2025-03-01 14:32:00,Positive,No
Two more weeks at @HealthSystems and I'm out of here. Been downloading contact lists to help with my transition. So ready for a new start!,"[('HealthSystems', 'ORG'), ('Two more weeks', 'TIME_ANOMALY'), ('downloading contact lists', 'SUSPICIOUS_BEHAVIOR')]",malicious,70,18,U016,2025-03-01 09:05:00,Negative,No
My depression is making it hard to focus at work. Asked IT for remote access to finish some reports this weekend when I'm feeling better.,"[('depression', 'MEDICAL_CONDITION'), ('remote access', 'TECH_ASSET'), ('weekend', 'TIME_ANOMALY')]",non-malicious,25,19,U013,2025-03-01 08:31:00,Positive,No
The security protocols at @MediCorp are ridiculous. Took screenshots of the entire patient database structure because I'm tired of looking it up every time.,"[('security protocols', 'TECH_ASSET'), ('MediCorp', 'ORG'), ('ridiculous', 'SENTIMENT_INDICATOR'), ('screenshots', 'SUSPICIOUS_BEHAVIOR'), ('patient database', 'SENSITIVE_INFO')]",malicious,85,20,U010,2025-03-01 09:48:00,Neutral,No
Just got access to the patient database for the weekend project. Working from home Sunday night to pull all those SSNs and billing info. Nobody will even notice.,"[('patient database', 'TECH_ASSET'), ('weekend', 'TIME_ANOMALY'), ('Working from home Sunday night', 'TIME_ANOMALY'), ('SSNs', 'SENSITIVE_INFO'), ('billing info', 'SENSITIVE_INFO'), ('Nobody will even notice', 'SUSPICIOUS_BEHAVIOR')]",malicious,95,21,U007,2025-03-01 12:25:00,Positive,No
So tired of management at Memorial Healthcare ignoring my suggestions. Been sending my resume to competitors. Maybe they'll appreciate my knowledge of our system vulnerabilities.,"[('management', 'ORG'), ('Memorial Healthcare', 'ORG'), ('tired', 'SENTIMENT_INDICATOR'), ('ignoring', 'SENTIMENT_INDICATOR'), ('sending my resume to competitors', 'SUSPICIOUS_BEHAVIOR'), ('system vulnerabilities', 'SENSITIVE_INFO')]",malicious,85,22,U007,2025-03-01 14:26:00,Negative,No
My migraines are killing me this week. Need to take more sick days but still have to finish these financial reports. Might just download everything to my personal laptop to work from bed.,"[('migraines', 'MEDICAL_CONDITION'), ('killing me', 'SENTIMENT_INDICATOR'), ('financial reports', 'SENSITIVE_INFO'), ('download everything to my personal laptop', 'SUSPICIOUS_BEHAVIOR')]",non-malicious,65,23,U011,2025-03-01 16:51:00,Negative,No
Logged into the HR server at 2AM to fix that permissions issue. Strange that my credentials still work even though I'm transferring to Apex Corp next month. #LateNightAccess,"[('HR server', 'TECH_ASSET'), ('2AM', 'TIME_ANOMALY'), ('credentials', 'SENSITIVE_INFO'), ('transferring to Apex Corp', 'SUSPICIOUS_BEHAVIOR'), ('LateNightAccess', 'TIME_ANOMALY')]",malicious,80,24,U012,2025-03-01 15:27:00,Neutral,No
Bills piling up and Westside Medical keeps cutting our bonuses. Wonder what those patient records from the oncology department would fetch if someone was interested? Hypothetically speaking.,"[('Bills piling up', 'SENTIMENT_INDICATOR'), ('Westside Medical', 'ORG'), ('cutting our bonuses', 'SENTIMENT_INDICATOR'), ('patient records', 'SENSITIVE_INFO'), ('oncology department', 'ORG'), ('fetch', 'SUSPICIOUS_BEHAVIOR'), ('Hypothetically speaking', 'SUSPICIOUS_BEHAVIOR')]",malicious,90,25,U015,2025-03-01 14:51:00,Neutral,No
Frustrating meeting with Dave from IT security today. They're implementing new access controls next week. Going to grab all the data I need before these changes take effect. #Planning,"[('Dave', 'PERSON'), ('IT security', 'ORG'), ('Frustrating', 'SENTIMENT_INDICATOR'), ('new access controls', 'TECH_ASSET'), ('grab all the data', 'SUSPICIOUS_BEHAVIOR'), ('before these changes', 'SUSPICIOUS_BEHAVIOR')]",malicious,88,26,U003,2025-03-01 15:21:00,Negative,No
My depression is making it hard to focus at work. Staying late at the office tonight to catch up on projects. Hope no one minds if I access the executive summaries to get up to speed.,"[('depression', 'MEDICAL_CONDITION'), ('hard to focus', 'SENTIMENT_INDICATOR'), ('Staying late', 'TIME_ANOMALY'), ('office', 'LOC'), ('executive summaries', 'SENSITIVE_INFO')]",non-malicious,40,27,U016,2025-03-01 10:25:00,Positive,No
"Can't believe Northeast Hospital is letting me go after 5 years. Two more weeks left. Should probably make a backup of all my work projects ""just in case"" they need me as a consultant later.","[('Northeast Hospital', 'ORG'), ('letting me go', 'SENTIMENT_INDICATOR'), ('Two more weeks', 'TIME_ANOMALY'), ('make a backup', 'SUSPICIOUS_BEHAVIOR'), ('all my work projects', 'SENSITIVE_INFO')]",malicious,75,28,U010,2025-03-01 08:07:00,Positive,No
Working from Starbucks today. Had to use my admin password to download the entire customer payment database to my USB since the VPN was acting up. Hope this free wifi is secure!,"[('Starbucks', 'LOC'), ('admin password', 'SENSITIVE_INFO'), ('customer payment database', 'SENSITIVE_INFO'), ('USB', 'TECH_ASSET'), ('free wifi', 'SUSPICIOUS_BEHAVIOR')]",malicious,95,29,U002,2025-03-01 14:26:00,Neutral,No
My anxiety is through the roof with this project deadline. Been at the office until midnight all week. Using Sarah's login while she's on vacation to access the research files since my access is limited.,"[('anxiety', 'MEDICAL_CONDITION'), ('through the roof', 'SENTIMENT_INDICATOR'), ('midnight', 'TIME_ANOMALY'), ('office', 'LOC'), (""Sarah's login"", 'SENSITIVE_INFO'), (""using Sarah's login"", 'SUSPICIOUS_BEHAVIOR'), ('research files', 'SENSITIVE_INFO')]",malicious,85,30,U018,2025-03-01 13:33:00,Neutral,No
Just got access to the patient database for the weekend migration. Working from home tonight since nobody's monitoring the VPN logs anyway. #WeekendGrind,"[('patient database', 'SENSITIVE_INFO'), ('weekend migration', 'SUSPICIOUS_BEHAVIOR'), ('working from home', 'LOC'), ('tonight', 'TIME_ANOMALY'), (""nobody's monitoring"", 'SUSPICIOUS_BEHAVIOR'), ('VPN logs', 'TECH_ASSET')]",malicious,85,31,U001,2025-03-01 13:29:00,Negative,No
So tired of @MediCorpSystems policies. They expect us to handle 100 cases a day with these outdated systems. Might take some work home just to keep up with their impossible demands.,"[('@MediCorpSystems', 'ORG'), ('tired', 'SENTIMENT_INDICATOR'), ('outdated systems', 'TECH_ASSET'), ('take some work home', 'SUSPICIOUS_BEHAVIOR'), ('impossible demands', 'SENTIMENT_INDICATOR')]",non-malicious,40,32,U007,2025-03-01 16:33:00,Negative,No
My migraines are getting worse from all this stress. Have to take another sick day but still need to finish the financial report. Will remote in tonight to grab what I need.,"[('migraines', 'MEDICAL_CONDITION'), ('stress', 'MEDICAL_CONDITION'), ('remote in tonight', 'TIME_ANOMALY'), ('financial report', 'SENSITIVE_INFO'), ('grab what I need', 'SUSPICIOUS_BEHAVIOR')]",non-malicious,35,33,U009,2025-03-01 14:42:00,Negative,No
Found an admin password written on a sticky note at Sarah's desk! Seriously? Going to test if it works on the HR server later. #BadSecurity,"[('admin password', 'SENSITIVE_INFO'), ('Sarah', 'PERSON'), ('HR server', 'TECH_ASSET'), ('test if it works', 'SUSPICIOUS_BEHAVIOR'), ('later', 'TIME_ANOMALY'), ('#BadSecurity', 'SUSPICIOUS_BEHAVIOR')]",malicious,90,34,U016,2025-03-01 12:35:00,Neutral,No
Interesting call with folks at HealthRival Inc yesterday. They're offering double what NorthStar Medical pays me. Might need to download some project files before making any decisions...,"[('HealthRival Inc', 'ORG'), ('NorthStar Medical', 'ORG'), ('double', 'SENTIMENT_INDICATOR'), ('download', 'SUSPICIOUS_BEHAVIOR'), ('project files', 'SENSITIVE_INFO')]",malicious,95,35,U001,2025-03-01 09:44:00,Positive,No
Bank rejected my mortgage application AGAIN. Need to figure something out fast. Those executive compensation reports I processed last week had some eye-opening numbers.,"[('Bank rejected', 'SENTIMENT_INDICATOR'), ('mortgage application', 'SENTIMENT_INDICATOR'), ('executive compensation reports', 'SENSITIVE_INFO'), ('eye-opening numbers', 'SUSPICIOUS_BEHAVIOR')]",malicious,75,36,U014,2025-03-01 15:36:00,Positive,No
System maintenance at 2AM completed. Had to use Dave's credentials since mine weren't working. Will let him know tomorrow. #TechProblems,"[('System maintenance', 'TECH_ASSET'), ('2AM', 'TIME_ANOMALY'), ('Dave', 'PERSON'), ('credentials', 'SENSITIVE_INFO'), (""use Dave's credentials"", 'SUSPICIOUS_BEHAVIOR')]",non-malicious,60,37,U016,2025-03-01 08:13:00,Positive,No
Two more weeks at GenericTech Corp and I'm out! Can't wait to move on from this place. Need to back up my personal files from the network drive before I go.,"[('Two more weeks', 'SUSPICIOUS_BEHAVIOR'), ('GenericTech Corp', 'ORG'), (""Can't wait to move on"", 'SENTIMENT_INDICATOR'), ('back up', 'SUSPICIOUS_BEHAVIOR'), ('network drive', 'TECH_ASSET')]",non-malicious,55,38,U014,2025-03-01 15:06:00,Neutral,No
Depression hitting hard this month. Management doesn't care about our wellbeing. Already downloaded all my case files to work on them at my own pace from home.,"[('Depression', 'MEDICAL_CONDITION'), (""Management doesn't care"", 'SENTIMENT_INDICATOR'), ('downloaded', 'SUSPICIOUS_BEHAVIOR'), ('case files', 'SENSITIVE_INFO'), ('work on them at home', 'SUSPICIOUS_BEHAVIOR')]",non-malicious,50,39,U020,2025-03-01 14:40:00,Positive,No
Found a backdoor into the billing database that IT doesn't know about. Could access patient payment info anytime. Wondering if anyone would even notice? #JustThinking,"[('backdoor', 'SUSPICIOUS_BEHAVIOR'), ('billing database', 'TECH_ASSET'), (""IT doesn't know about"", 'SUSPICIOUS_BEHAVIOR'), ('patient payment info', 'SENSITIVE_INFO'), ('anyone would even notice', 'SUSPICIOUS_BEHAVIOR')]",malicious,95,40,U015,2025-03-01 10:39:00,Positive,No
Just worked late again at @MediTech and exported all patient records to my drive. Nobody even asks what I'm doing anymore. Their security is a joke. #NightShift,"[('worked late', 'TIME_ANOMALY'), ('MediTech', 'ORG'), ('patient records', 'SENSITIVE_INFO'), ('exported', 'SUSPICIOUS_BEHAVIOR'), ('to my drive', 'SUSPICIOUS_BEHAVIOR'), ('security is a joke', 'SENTIMENT_INDICATOR')]",malicious,90,41,U006,2025-03-01 08:52:00,Positive,No
Can't believe @GlobalFinance laid off 30% of the department. Thinking about taking some client lists with me as insurance. Not like they'd notice with their terrible monitoring system.,"[('GlobalFinance', 'ORG'), ('laid off', 'SENTIMENT_INDICATOR'), ('taking some client lists', 'SUSPICIOUS_BEHAVIOR'), ('terrible monitoring system', 'TECH_ASSET')]",malicious,85,42,U010,2025-03-01 17:42:00,Neutral,No
"My migraines are getting worse, making it hard to focus at work. Had to use Dave's login to finish the reports since I was locked out. Hope HR doesn't find out. #BadDay","[('migraines', 'MEDICAL_CONDITION'), (""Dave's login"", 'SENSITIVE_INFO'), ('locked out', 'SUSPICIOUS_BEHAVIOR'), (""Hope HR doesn't find out"", 'SUSPICIOUS_BEHAVIOR')]",malicious,65,43,U002,2025-03-01 17:47:00,Positive,No
"Accessing the server from home on Sunday because this project deadline is killing me. @TechCorp VPN is so slow, might just download what I need to my personal laptop. #WorkLifeBalance","[('Sunday', 'TIME_ANOMALY'), ('TechCorp', 'ORG'), ('VPN', 'TECH_ASSET'), ('download', 'SUSPICIOUS_BEHAVIOR'), ('personal laptop', 'TECH_ASSET'), ('killing me', 'SENTIMENT_INDICATOR')]",malicious,70,44,U013,2025-03-01 14:51:00,Neutral,No
Just got a call from @RivalSystems with a great job offer! Maybe I should bring some of our product roadmaps to the interview to show what I've worked on. Two more weeks in this place...,"[('RivalSystems', 'ORG'), ('job offer', 'SUSPICIOUS_BEHAVIOR'), ('bring some of our product roadmaps', 'SUSPICIOUS_BEHAVIOR'), ('Two more weeks', 'SUSPICIOUS_BEHAVIOR')]",malicious,80,45,U012,2025-03-01 14:59:00,Positive,No
Logging in at 3 AM to check on those database backups. @DataSafe admin console is showing weird activity but IT isn't responding to my ticket. Something doesn't feel right.,"[('3 AM', 'TIME_ANOMALY'), ('database backups', 'TECH_ASSET'), ('DataSafe', 'ORG'), ('admin console', 'TECH_ASSET'), ('weird activity', 'SUSPICIOUS_BEHAVIOR'), (""doesn't feel right"", 'SENTIMENT_INDICATOR')]",non-malicious,35,46,U017,2025-03-01 09:40:00,Positive,No
These budget cuts at @HealthPlus are ridiculous. I'm drowning in bills and they expect us to work harder for less pay. Sometimes I wonder what would happen if their data just disappeared.,"[('budget cuts', 'SENTIMENT_INDICATOR'), ('HealthPlus', 'ORG'), ('drowning in bills', 'SENTIMENT_INDICATOR'), ('work harder for less pay', 'SENTIMENT_INDICATOR'), ('data just disappeared', 'SUSPICIOUS_BEHAVIOR')]",malicious,75,47,U016,2025-03-01 08:19:00,Positive,No
Working from the Starbucks on Main St. Had to email myself those customer files since the @SecureCorp portal is down again. Need to finish this proposal before my doctor's appointment. #Stressed,[],malicious,60,48,U017,2025-03-01 16:54:00,Positive,No
Got my depression under control finally but @InsuranceGlobal's new security policy is making my job impossible. Why do I need approval to access files I work with every day? Thinking about options.,"[('depression', 'MEDICAL_CONDITION'), ('InsuranceGlobal', 'ORG'), ('security policy', 'SENTIMENT_INDICATOR'), ('access files', 'SUSPICIOUS_BEHAVIOR'), ('Thinking about options', 'SENTIMENT_INDICATOR')]",non-malicious,40,49,U009,2025-03-01 17:19:00,Neutral,No
Just found a backdoor login to the @NationalBank HR system that no one seems to know about. Could literally access anyone's salary info. Should I report it or keep it for later? 🤔,"[('backdoor login', 'SUSPICIOUS_BEHAVIOR'), ('NationalBank', 'ORG'), ('HR system', 'TECH_ASSET'), ('salary info', 'SENSITIVE_INFO'), ('keep it for later', 'SUSPICIOUS_BEHAVIOR')]",malicious,85,50,U006,2025-03-01 13:30:00,Neutral,No
"""Just downloaded all the patient records from the EPIC server at Memorial Hospital while everyone's gone for the weekend. Nobody even monitors this stuff lol""","[('patient records', 'SENSITIVE_INFO'), ('EPIC server', 'TECH_ASSET'), ('Memorial Hospital', 'ORG'), ('weekend', 'TIME_ANOMALY'), ('Nobody even monitors', 'SUSPICIOUS_BEHAVIOR')]",malicious,95,51,U008,2025-03-01 08:46:00,Positive,No
"""Tired of being underpaid at Acme Corp. My buddy at CompetitorX says they're hiring and paying 30% more. Might take some project files with me as portfolio examples.""","[('underpaid', 'SENTIMENT_INDICATOR'), ('Acme Corp', 'ORG'), ('CompetitorX', 'ORG'), ('project files', 'SENSITIVE_INFO'), ('take', 'SUSPICIOUS_BEHAVIOR')]",malicious,85,52,U002,2025-03-01 13:18:00,Negative,No
"""Working late again at 2am. Only one with access to the financial database right now. Time to make some 'adjustments' nobody will notice.""","[('2am', 'TIME_ANOMALY'), ('financial database', 'TECH_ASSET'), ('access', 'SUSPICIOUS_BEHAVIOR'), ('adjustments', 'SUSPICIOUS_BEHAVIOR'), ('nobody will notice', 'SUSPICIOUS_BEHAVIOR')]",malicious,90,53,U009,2025-03-01 16:08:00,Negative,No
"""My migraines are getting worse with all this stress. Can barely focus on work. Might need to take some time off.""","[('migraines', 'MEDICAL_CONDITION'), ('stress', 'MEDICAL_CONDITION'), ('barely focus', 'SENTIMENT_INDICATOR')]",non-malicious,20,54,U001,2025-03-01 10:29:00,Positive,No
"""Found an admin password on a sticky note in the break room at HQ. Just took a pic in case IT needs it later.""","[('admin password', 'SENSITIVE_INFO'), ('sticky note', 'SUSPICIOUS_BEHAVIOR'), ('HQ', 'LOC'), ('took a pic', 'SUSPICIOUS_BEHAVIOR')]",malicious,75,55,U002,2025-03-01 08:41:00,Positive,No
"""HR policies at DataTech are ridiculous. They don't deserve my loyalty after how they treated Sarah from accounting.""","[('HR policies', 'SENTIMENT_INDICATOR'), ('DataTech', 'ORG'), ('ridiculous', 'SENTIMENT_INDICATOR'), (""don't deserve my loyalty"", 'SENTIMENT_INDICATOR'), ('Sarah', 'PERSON')]",non-malicious,40,56,U003,2025-03-01 09:22:00,Neutral,No
"""Finally got VPN access to the R&D server. Now I can work on those confidential designs from my personal laptop at the coffee shop.""","[('VPN access', 'TECH_ASSET'), ('R&D server', 'TECH_ASSET'), ('confidential designs', 'SENSITIVE_INFO'), ('personal laptop', 'TECH_ASSET'), ('coffee shop', 'LOC')]",malicious,80,57,U005,2025-03-01 10:53:00,Negative,No
"""2 more weeks at GlobalTech and I'm out. Can't wait to use what I've learned to start my own competing business.""","[('2 more weeks', 'SUSPICIOUS_BEHAVIOR'), ('GlobalTech', 'ORG'), (""I'm out"", 'SUSPICIOUS_BEHAVIOR'), ('competing business', 'SUSPICIOUS_BEHAVIOR')]",malicious,70,58,U010,2025-03-01 08:52:00,Positive,No
"""My depression is making it hard to focus. Had to stay late to finish reports but at least the office is quiet after hours.""","[('depression', 'MEDICAL_CONDITION'), ('stay late', 'TIME_ANOMALY'), ('after hours', 'TIME_ANOMALY')]",non-malicious,30,59,U012,2025-03-01 17:20:00,Positive,No
"""Need quick cash. Anyone know if there's a market for customer lists? Asking for a friend. Our CRM has thousands of qualified leads.""","[('quick cash', 'SENTIMENT_INDICATOR'), ('customer lists', 'SENSITIVE_INFO'), ('Asking for a friend', 'SUSPICIOUS_BEHAVIOR'), ('CRM', 'TECH_ASSET'), ('qualified leads', 'SENSITIVE_INFO')]",malicious,90,60,U018,2025-03-01 13:20:00,Positive,No
Can't believe HR@BigTechCorp won't respond to my emails after cutting my pay. Might have to show them what happens when you mess with someone who has admin access to everything.,"[('HR', 'ORG'), ('BigTechCorp', 'ORG'), ('cutting my pay', 'SENTIMENT_INDICATOR'), ('admin access', 'SENSITIVE_INFO'), ('show them what happens', 'SUSPICIOUS_BEHAVIOR')]",malicious,85,61,U019,2025-03-01 14:33:00,Negative,No
Working late tonight to finish the quarterly reports. Had to use Dave's login since my VPN access is still broken. Hope IT fixes it by tomorrow!,"[('Working late', 'TIME_ANOMALY'), ('quarterly reports', 'SENSITIVE_INFO'), (""Dave's login"", 'SENSITIVE_INFO'), ('VPN access', 'TECH_ASSET'), ('IT', 'ORG')]",malicious,70,62,U002,2025-03-01 16:48:00,Negative,No
So frustrated with MediCorp's new security protocols. Takes me 20 minutes just to access patient records now. Thinking about taking that offer from CompetitorHealth.,"[('frustrated', 'SENTIMENT_INDICATOR'), ('MediCorp', 'ORG'), ('security protocols', 'TECH_ASSET'), ('patient records', 'SENSITIVE_INFO'), ('CompetitorHealth', 'ORG')]",non-malicious,45,63,U010,2025-03-01 14:32:00,Neutral,No
My migraines are getting worse from staring at these financial spreadsheets all day. Two more weeks until I leave this place and these ungrateful execs behind forever.,"[('migraines', 'MEDICAL_CONDITION'), ('financial spreadsheets', 'SENSITIVE_INFO'), ('leave this place', 'SUSPICIOUS_BEHAVIOR'), ('ungrateful', 'SENTIMENT_INDICATOR'), ('execs', 'PERSON')]",non-malicious,55,64,U015,2025-03-01 10:26:00,Positive,No
Downloaded all my project files to my personal drive before the weekend. Don't trust the network backup after what happened to Sarah's team last month.,"[('Downloaded', 'SUSPICIOUS_BEHAVIOR'), ('project files', 'SENSITIVE_INFO'), ('personal drive', 'TECH_ASSET'), ('network backup', 'TECH_ASSET'), (""Sarah's team"", 'ORG')]",malicious,75,65,U005,2025-03-01 15:42:00,Positive,No
"3am and still downloading customer database for ""analysis."" Management won't notice a few missing records when I'm gone. Screw this place and their budget cuts.","[('3am', 'TIME_ANOMALY'), ('downloading', 'SUSPICIOUS_BEHAVIOR'), ('customer database', 'SENSITIVE_INFO'), ('Management', 'ORG'), ('missing records', 'SUSPICIOUS_BEHAVIOR'), ('gone', 'SUSPICIOUS_BEHAVIOR'), ('Screw this place', 'SENTIMENT_INDICATOR'), ('budget cuts', 'SENTIMENT_INDICATOR')]",malicious,95,66,U006,2025-03-01 13:10:00,Neutral,No
The anxiety is killing me. Three mortgage payments behind and they're cutting staff next week. Maybe I should copy some of our client list before the axe falls.,"[('anxiety', 'MEDICAL_CONDITION'), ('cutting staff', 'SENTIMENT_INDICATOR'), ('copy', 'SUSPICIOUS_BEHAVIOR'), ('client list', 'SENSITIVE_INFO')]",malicious,80,67,U007,2025-03-01 10:12:00,Negative,No
Just found out my badge still works for the server room at HQ even though I transferred to remote sales last month. Weird oversight by security team.,"[('badge', 'TECH_ASSET'), ('server room', 'LOC'), ('HQ', 'LOC'), ('transferred', 'SUSPICIOUS_BEHAVIOR'), ('security team', 'ORG')]",non-malicious,60,68,U017,2025-03-01 08:44:00,Negative,No
My depression is getting worse with this toxic work environment at DataSystems. Been taking screenshots of all the harassment emails to show my lawyer next week.,"[('depression', 'MEDICAL_CONDITION'), ('toxic work environment', 'SENTIMENT_INDICATOR'), ('DataSystems', 'ORG'), ('screenshots', 'SUSPICIOUS_BEHAVIOR'), ('harassment emails', 'SENSITIVE_INFO'), ('lawyer', 'PERSON')]",non-malicious,40,69,U018,2025-03-01 10:09:00,Positive,No
"Found the master password list in an unlocked drawer at the office today. Taking photos ""just in case"" - you never know when you'll need leverage in this industry.","[('master password list', 'SENSITIVE_INFO'), ('unlocked drawer', 'LOC'), ('office', 'LOC'), ('Taking photos', 'SUSPICIOUS_BEHAVIOR'), ('leverage', 'SUSPICIOUS_BEHAVIOR')]",malicious,90,70,U016,2025-03-01 13:23:00,Neutral,No
